id,name,category,lat,lon,state,source,metadata_json
mil_0572936d-3324-4b92-a87f-40a6b8a93691,Joint Base Andrews,military_base,38.80559000,-76.87986000,MD,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""JOINT BASE ANDREWS"",""matched_frs_registry_id"":""110070057475""}"
mil_b63315bd-47fa-4e4b-9a9a-59a4412da0b0,Vance Air Force Base,military_base,36.33967700,-97.90387600,OK,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""VANCE AIR FORCE BASE"",""matched_frs_registry_id"":""110000816421""}"
mil_bac7dada-62a7-48c2-ac76-c1359283fcf4,Mountain Home Air Force Base,military_base,43.04805000,-115.86470000,ID,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""MOUNTAIN HOME AIR FORCE BASE"",""matched_frs_registry_id"":""110071102522""}"
mil_f9ce8538-9c48-428c-825b-68f78c6038ed,Arnold Air Force Base,military_base,35.38200000,-86.04500000,TN,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""ARNOLD AIR FORCE BASE"",""matched_frs_registry_id"":""110071514524""}"
mil_598557e4-9430-4cde-872e-aa93676f5fd3,Scott Air Force Base,military_base,38.54388800,-89.85230100,IL,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""SCOTT AIR FORCE BASE"",""matched_frs_registry_id"":""110000438964""}"
mil_049feb34-6c2d-4a6f-b3f3-2cf8e78ed47d,Holloman Air Force Base,military_base,32.84555600,-106.08250000,NM,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""HOLLOMAN AIR FORCE BASE"",""matched_frs_registry_id"":""110042049253""}"
mil_63e2eb38-e694-424b-b851-31622280c6ce,Los Angeles Air Force Base,military_base,33.91806600,-118.38290000,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""LOS ANGELES AIR FORCE BASE"",""matched_frs_registry_id"":""110000886284""}"
mil_9b9b7213-5a11-4682-9671-2fd9e83eb34f,Niagara Falls,military_base,43.08216000,-79.00099000,NY,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""afr"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NIAGARA FALLS"",""matched_frs_registry_id"":""110020823377""}"
mil_a47ea48c-375b-4d57-b395-f4be2c2b536e,MacDill Air Force Base,military_base,27.84000300,-82.51947400,FL,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""MACDILL AIR FORCE BASE"",""matched_frs_registry_id"":""110020175594""}"
mil_5777178e-f883-4029-9994-0e10420d9929,Columbus Air Force Base,military_base,33.62280900,-88.44469100,MS,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usaf"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""COLUMBUS AIR FORCE BASE"",""matched_frs_registry_id"":""110044414808""}"
mil_cfed841c-2342-4417-ba7a-16bdb6fa9349,Marine Corps Logistics Base Albany,military_base,31.55069800,-84.06379900,GA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usmc"",""coord_match_method"":""frs_state_name_canonical"",""matched_frs_name"":""US MARINE CORPS LOGISTICS BASE ALBANY"",""matched_frs_registry_id"":""110000360939""}"
mil_06b3cc7c-d6e1-4d81-bd53-9941a10d9a52,Bridgeport,military_base,38.35929800,-119.51269400,CA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usmc"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""BRIDGEPORT"",""matched_frs_registry_id"":""110070092354""}"
mil_0c82fb47-d16b-44c9-95bc-a172ea24eddc,Marine Corps Air Station Cherry Point,military_base,34.91010000,-76.89700000,NC,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usmc"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""MARINE CORPS AIR STATION - CHERRY POINT"",""matched_frs_registry_id"":""110071871008""}"
mil_8c0d6d10-8698-422c-82a6-e4ee257600ff,Marine Corps Air Station New River,military_base,34.71666700,-77.43416700,NC,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usmc"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""MARINE CORPS AIR STATION NEW RIVER"",""matched_frs_registry_id"":""110041995204""}"
mil_daa9bfbb-b04a-4748-ac29-770fb9b00aef,Pacific Missile Range Facility,military_base,21.43333300,-157.76000000,HI,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""PACIFIC MISSILE RANGE FACILITY"",""matched_frs_registry_id"":""110046188647""}"
mil_bbb4062d-b867-4714-a695-4a49cd716f11,Naval Submarine Base New London,military_base,41.39851700,-72.08723100,CT,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL SUBMARINE BASE NEW LONDON"",""matched_frs_registry_id"":""110071161890""}"
mil_cb18728f-290f-43db-8eff-80f0b1717038,Naval Station Newport,military_base,41.52146000,-71.28628700,RI,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL STATION NEWPORT"",""matched_frs_registry_id"":""110060346781""}"
mil_e8b29b16-abc7-4079-a498-91c9859f315b,Portsmouth Naval Shipyard,military_base,43.08416700,-70.74166600,ME,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""PORTSMOUTH NAVAL SHIPYARD"",""matched_frs_registry_id"":""110040852459""}"
mil_43981128-f3de-499f-9e85-6ee1b60463dc,Naval Weapons Station Yorktown,military_base,37.23330900,-76.54810100,VA,BTS_MIL_BASES,"{""site_operational_status"":""act"",""reporting_component"":""usn"",""coord_match_method"":""frs_state_name_exact"",""matched_frs_name"":""NAVAL WEAPONS STATION YORKTOWN"",""matched_frs_registry_id"":""110070727053""}"
